51,30,January,11,-1
55,32,February,13,0
63,39,March,17,4
72,48,April,22,9
80,57,May,27,14
87,66,June,31,19
90,69,July,32,21
89,68,August,31,20
82,61,September,28,16
73,50,October,23,10
63,41,November,17,5
54,33,December,12,0
