52,34,January,11,1
57,38,February,14,3
65,44,March,18,7
73,52,April,23,11
80,60,May,27,16
86,68,June,30,20
89,71,July,32,22
88,71,August,31,22
82,65,September,28,18
73,54,October,23,12
64,45,November,18,7
54,37,December,12,3
